Rank,Id,Pokemon,Type1,Type2,Total,HP,Attack,Defense,Sp.Atk,Sp.Def,Speed,Generation,Legendary,Usage%,Raw,Raw%,Real,Real%,Date
1   , 248,Tyranitar,Rock,Dark,600,100,134,110,95,100,61,2,False          , 47.24692% , 40707  , 42.224% , 33670  , 42.976% , 2021/10
2   , 376,Metagross,Steel,Psychic,600,80,135,130,95,90,70,3,False          , 37.54496% , 33692  , 34.947% , 27674  , 35.322% , 2021/10
3   , 260,Swampert,Water,Ground,535,100,110,90,85,90,60,3,False           , 30.09949% , 27364  , 28.384% , 22652  , 28.913% , 2021/10
4   , 373,Salamence,Dragon,Flying,600,95,135,80,110,80,100,3,False          , 30.08224% , 28170  , 29.220% , 22774  , 29.068% , 2021/10
5   , 94,Gengar,Ghost,Poison,500,60,65,60,130,75,110,1,False             , 27.24814% , 26840  , 27.840% , 21269  , 27.147% , 2021/10
6   , 145,Zapdos,Electric,Flying,580,90,90,85,125,90,100,1,True             , 27.17718% , 23305  , 24.173% , 21228  , 27.095% , 2021/10
7   , 227,Skarmory,Steel,Flying,465,65,80,140,40,70,70,2,False           , 25.68985% , 23563  , 24.441% , 21586  , 27.552% , 2021/10
8   , 143,Snorlax,Normal,,540,160,110,65,65,110,30,1,False            , 24.55529% , 22834  , 23.685% , 18706  , 23.876% , 2021/10
9   , 242,Blissey,Normal,,540,255,10,10,75,135,55,2,False            , 23.70704% , 21621  , 22.427% , 17922  , 22.875% , 2021/10
10  , 251,Celebi,Psychic,Grass,600,100,100,100,100,100,100,2,False             , 22.06940% , 20499  , 21.263% , 17289  , 22.067% , 2021/10
11  , 82,Magneton,Electric,Steel,465,50,60,95,120,70,70,1,False           , 20.86249% , 18666  , 19.361% , 13742  , 17.540% , 2021/10
12  , 51,Dugtrio,Ground,,405,35,80,50,50,70,120,1,False            , 17.90423% , 16468  , 17.082% , 12460  , 15.904% , 2021/10
13  , 385,Jirachi,Steel,Psychic,600,100,100,100,100,100,100,3,True            , 17.12097% , 14739  , 15.288% , 11561  , 14.756% , 2021/10
14  , 245,Suicune,Water,,580,100,75,115,90,115,85,2,True            , 16.57471% , 14660  , 15.206% , 12015  , 15.336% , 2021/10
15  , 121,Starmie,Water,Psychic,520,60,75,85,100,85,115,1,False            , 15.96438% , 14432  , 14.970% , 11720  , 14.959% , 2021/10
16  , 142,Aerodactyl,Rock,Flying,515,80,105,65,60,75,130,1,False         , 14.25756% , 13600  , 14.107% , 10346  , 13.205% , 2021/10
17  , 214,Heracross,Bug,Fighting,500,80,125,75,40,95,85,2,False          , 10.68360% , 9998   , 10.371% , 7850   , 10.020% , 2021/10
18  , 286,Breloom,Grass,Fighting,460,60,130,80,60,60,70,3,False            , 10.62807% , 10726  , 11.126% , 8532   , 10.890% , 2021/10
19  , 344,Claydol,Ground,Psychic,500,60,70,105,70,120,75,3,False            ,  9.43397% , 8359   ,  8.670% , 6825   ,  8.711% , 2021/10
20  , 130,Gyarados,Water,Flying,540,95,125,79,60,100,81,1,False           ,  8.51276% , 8233   ,  8.540% , 6879   ,  8.780% , 2021/10
21  , 135,Jolteon,Electric,,525,65,65,60,110,95,130,1,False            ,  8.34110% , 8959   ,  9.293% , 7372   ,  9.409% , 2021/10
22  , 205,Forretress,Bug,Steel,465,75,90,140,60,60,40,2,False         ,  7.88613% , 7926   ,  8.221% , 7182   ,  9.167% , 2021/10
23  , 350,Milotic,Water,,540,95,60,79,100,125,81,3,False            ,  7.22141% , 7177   ,  7.444% , 5629   ,  7.185% , 2021/10
24  , 330,Flygon,Ground,Dragon,520,80,100,80,80,80,100,3,False             ,  6.43199% , 6487   ,  6.729% , 5169   ,  6.598% , 2021/10
25  , 297,Hariyama,Fighting,,474,144,120,60,40,60,50,3,False           ,  5.64596% , 5097   ,  5.287% , 4262   ,  5.440% , 2021/10
26  , 6,Charizard,Fire,Flying,534,78,84,78,109,85,100,1,False          ,  5.57414% , 5337   ,  5.536% , 4300   ,  5.488% , 2021/10
27  , 146,Moltres,Fire,Flying,580,90,100,90,125,85,90,1,True            ,  5.45854% , 5467   ,  5.671% , 4363   ,  5.569% , 2021/10
28  , 91,Cloyster,Water,Ice,525,50,95,180,85,45,70,1,False           ,  5.24852% , 4974   ,  5.159% , 4388   ,  5.601% , 2021/10
29  , 291,Ninjask,Bug,Flying,456,61,90,45,50,50,160,3,False            ,  4.90613% , 5320   ,  5.518% , 4747   ,  6.059% , 2021/10
30  , 243,Raikou,Electric,,580,90,85,75,115,100,115,2,True             ,  4.68237% , 4139   ,  4.293% , 3537   ,  4.515% , 2021/10
31  , 233,Porygon2,Normal,,515,85,80,90,105,95,60,2,False           ,  4.51902% , 4305   ,  4.465% , 3498   ,  4.465% , 2021/10
32  , 65,Alakazam,Psychic,,500,55,50,45,135,95,120,1,False           ,  4.25079% , 5037   ,  5.225% , 3965   ,  5.061% , 2021/10
33  , 134,Vaporeon,Water,,525,130,65,60,110,95,65,1,False           ,  3.84318% , 3977   ,  4.125% , 3242   ,  4.138% , 2021/10
34  , 212,Scizor,Bug,Steel,500,70,130,100,55,80,65,2,False             ,  3.82813% , 3690   ,  3.827% , 2886   ,  3.684% , 2021/10
